Date : 2020-01-10 10:30:39
Directory : c:\Users\AORUS\Desktop\Work_Echart\EChartSimple
Total : 963 files,  175214 codes, 10070 comments, 13467 blanks, all 198751 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\base.css                | CSS        |         70 |         19 |         32 |        121 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\万元产值能耗.css              | CSS        |         17 |          8 |          3 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\企业异常用能事件.css            | CSS        |         72 |         40 |         30 |        142 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\企业概况.css                | CSS        |         23 |          0 |         10 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\企业能源消费排行.css            | CSS        |         15 |          5 |          2 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\区域概况.css                | CSS        |         24 |         10 |         10 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\区域能源消费比例.css            | CSS        |         15 |          5 |          2 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\区域能源消费结构.css            | CSS        |         15 |          5 |          2 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\单位面积能耗.css              | CSS        |         17 |          8 |          3 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\年度供需对比 copy.css         | CSS        |         81 |         26 |          3 |        110 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\年度供需对比.css              | CSS        |         16 |          5 |          3 |         24 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\年度综合能耗环比.css            | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\度电经济增加值.css             | CSS        |         17 |          8 |          3 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\异常用能原因.css              | CSS        |         15 |          5 |          2 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\异常能源监测.css              | CSS        |         24 |         10 |         10 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\最新异常事件.css              | CSS        |         70 |         38 |         29 |        137 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\有功图表x.css               | CSS        |         57 |         19 |          2 |         78 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\标签云.css                 | CSS        |        100 |          7 |         22 |        129 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\清洁能源占比.css              | CSS        |         15 |          5 |          2 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\特征图表一.css               | CSS        |         57 |         19 |          2 |         78 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\特征图表三.css               | CSS        |         57 |         19 |          2 |         78 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\特征图表二.css               | CSS        |         57 |         19 |          2 |         78 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\碳排放.css                 | CSS        |         15 |          5 |          2 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\综合能耗.css                | CSS        |         15 |          5 |          3 |         23 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\能效环比.css                | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\能级评价指标.css              | CSS        |         50 |          5 |          1 |         56 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\自我学习趋势图.css             | CSS        |         15 |          5 |          2 |         22 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\政府视角\行业能源消费排行.css            | CSS        |         17 |          8 |          3 |         28 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\base.css              | CSS        |         91 |         26 |         14 |        131 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\事件概况.css              | CSS        |         44 |          2 |          6 |         52 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\削峰填谷事件回顾.css          | CSS        |         86 |         26 |         30 |        142 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\区域概况.css              | CSS        |         25 |          9 |         10 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\客户区域分析.css            | CSS        |         15 |          7 |         10 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\客户行业分析.css            | CSS        |         19 |          5 |         11 |         35 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\总响应量排行榜.css           | CSS        |         85 |         14 |         17 |        116 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\标签云.css               | CSS        |        134 |         10 |         34 |        178 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\标签云1.css              | CSS        |        134 |         10 |         34 |        178 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\线路负载率.css             | CSS        |         47 |          1 |          1 |         49 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\线路负载率对比.css           | CSS        |         46 |         16 |         22 |         84 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\虚拟电厂出力曲线.css          | CSS        |         45 |         17 |         22 |         84 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\虚拟电厂完结汇总.css          | CSS        |         66 |         23 |         29 |        118 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\近一年削峰填谷事件数量.css       | CSS        |         15 |          9 |         12 |         36 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源企业视角\高-低负载线路.css           | CSS        |         88 |         26 |         24 |        138 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\base.css              | CSS        |         91 |         16 |         15 |        122 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\企业能效top20.css         | CSS        |         19 |          3 |          9 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\企业能耗top20.css         | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\出线柜.css               | CSS        |         85 |         37 |         16 |        138 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\功率因数行业排名.css          | CSS        |         31 |          7 |         12 |         50 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\功率因素详情.css            | CSS        |         79 |         12 |         15 |        106 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\区域概况.css              | CSS        |         25 |          9 |         10 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\去年电量构成-楼宇.css         | CSS        |         15 |          5 |         10 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\去年电量构成-电量峰谷.css       | CSS        |         33 |          8 |         12 |         53 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\变压器.css               | CSS        |         91 |         16 |         17 |        124 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\各月功率因数及力率奖惩电费.css     | CSS        |         26 |          6 |         17 |         49 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\各楼层功能.css             | CSS        |         79 |         19 |         17 |        115 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\各楼层能效.css             | CSS        |         31 |          7 |         20 |         58 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\各楼层能耗.css             | CSS        |         31 |          7 |         20 |         58 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\园区年度综合能耗环比.css        | CSS        |         15 |         12 |         12 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\园区楼宇能效_单位建筑面积能耗.css   | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\园区楼宇能耗排名.css          | CSS        |         44 |          9 |         20 |         73 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\园区能效top20.css         | CSS        |         28 |          6 |         16 |         50 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\园区能效环比.css            | CSS        |         24 |          6 |         17 |         47 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\园区能级评价指标.css          | CSS        |         51 |          6 |         12 |         69 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\园区能耗top20.css         | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\套管温度变化.css            | CSS        |         31 |          7 |         20 |         58 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\峰谷平电量占比与峰谷比.css       | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\年供需对比曲线.css           | CSS        |         47 |         10 |         21 |         78 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\年度综合能耗环比.css          | CSS        |         15 |         12 |         12 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\张江人工智能岛.css           | CSS        |         65 |         11 |         14 |         90 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\最大设备利用率.css           | CSS        |         15 |          4 |         10 |         29 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\最大设备利用率行业排名.css       | CSS        |         31 |          7 |         12 |         50 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\楼宇概况.css              | CSS        |         73 |         11 |         15 |         99 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\温度监测-红外图谱.css         | CSS        |         31 |          7 |         20 |         58 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\用电经济性指标同行对比.css       | CSS        |         16 |          5 |         10 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\电量峰谷比行业排名.css         | CSS        |         31 |         10 |         12 |         53 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\电量峰谷比详情.css           | CSS        |         79 |         19 |         15 |        113 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\能效环比.css              | CSS        |         39 |          8 |         14 |         61 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\能级评价指标.css            | CSS        |         52 |          5 |         13 |         70 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\计量柜.css               | CSS        |         85 |         37 |         16 |        138 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\设备利用率详情.css           | CSS        |         79 |         19 |         15 |        113 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\设备运行状况分析.css          | CSS        |         71 |         11 |         15 |         97 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源客户视角\进线柜.css               | CSS        |         85 |         37 |         16 |        138 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\base.css              | CSS        |         91 |         27 |         38 |        156 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\产业联盟星级评定.css          | CSS        |         22 |          4 |         11 |         37 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\亿可能源服务公司.css          | CSS        |         46 |         10 |         23 |         79 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\企业标签云.css             | CSS        |        127 |         11 |         33 |        171 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\企业概况.css              | CSS        |         23 |          0 |         10 |         33 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\企业能耗.css              | CSS        |         16 |          4 |         10 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\区域概况.css              | CSS        |         25 |          9 |         10 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\历史评价.css              | CSS        |        121 |         16 |         30 |        167 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\各类商品成交趋势.css          | CSS        |         22 |          4 |         11 |         37 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\合同数量变化趋势.css          | CSS        |         16 |          4 |         10 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\客户区域分析.css            | CSS        |         16 |          6 |         10 |         32 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\客户行业分析.css            | CSS        |         16 |          5 |         10 |         31 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\明星商品销量.css            | CSS        |         22 |          6 |         11 |         39 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\累计需求流失.css            | CSS        |         22 |          4 |         11 |         37 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\经营服务范围.css            | CSS        |         76 |          7 |         20 |        103 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\能效环比.css              | CSS        |         16 |          4 |         10 |         30 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\能源服务市场概括.css          | CSS        |         25 |          9 |         10 |         44 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\需求-商品成交分类占比.css       | CSS        |         22 |          5 |         11 |         38 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\展示版\能源服务市场\需求-商品成交转换率.css        | CSS        |         49 |          5 |          9 |         63 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\main.css                     | CSS        |        330 |         14 |         54 |        398 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\style.css                    | CSS        |         26 |          0 |          1 |         27 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\交易总览.css                     | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\交易详情.css                     | CSS        |        156 |          1 |          4 |        161 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\区域分析.css                     | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\大屏首页.css                     | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\客户特征分析.css                   | CSS        |        183 |          1 |          4 |        188 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\异常用能分析.css                   | CSS        |        116 |          0 |          2 |        118 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\服务概况.css                     | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\服务详情.css                     | CSS        |         46 |          1 |          2 |         49 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\能源应用.css                     | CSS        |         64 |          0 |          6 |         70 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\能源监控.css                     | CSS        |          7 |          0 |          0 |          7 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\控制版\能源管理.css                     | CSS        |        204 |          4 |          8 |        216 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\base.css                     | CSS        |         88 |         26 |         35 |        149 |
| c:\Users\AORUS\Desktop\Work_Echart\EChartSimple\css\监控版\能源交易\交易总览\各类商品成交趋势.css       | CSS        |         50 |         12 |         25 |         87 |
